firstname,middlename,lastname,qualifier,title,role,organization,rank
Roni,Caryn,Rabin,,,reported,,1
William,J.,Broad,,,reported,,1
Azeen,,Ghorayshi,,,reported,,1
Emily,,Anthes,,,reported,,1
Elizabeth,,Preston,,,reported,,1
Rocket,Lab,Via,,,reported,,1
Carolyn,,Wilke,,,reported,,1
Kenneth,,Chang,,,reported,,1
Nicholas,,Bakalar,,,reported,,1
Veronique,,Greenwood,,,reported,,1
Sabrina,,Imbler,,,reported,,1
Asher,,Elbein,,,reported,,1
Catrin,,Einhorn,,,reported,,1
James,,Gorman,,,reported,,1
Sabrina,,Imbler,,,reported,,1
Carl,,Zimmer,,,reported,,1
Kenneth,,Chang,,,reported,,1
Carl,,Zimmer,,,reported,,1
Apoorva,,Mandavilli,,,reported,,1
Pam,,Belluck,,,reported,,1
Alanna,,Mitchell,,,reported,,1
Dennis,,Overbye,,,reported,,1
Matt,,Richtel,,,reported,,1
Annie,,Flanagan,,,reported,,2
Paula,,Span,,,reported,,1
Emily,,Anthes,,,reported,,1
Benjamin,,Mueller,,,reported,,1
Jan,,Hoffman,,,reported,,2
Sabrina,,Imbler,,,reported,,1
Apoorva,,Mandavilli,,,reported,,1
Kenneth,,Chang,,,reported,,1
Benjamin,,Mueller,,,reported,,1
Jason,,Bittel,,,reported,,1
Emily,,Anthes,,,reported,,1
Rebecca,,Dzombak,,,reported,,1
Denny,,Lee,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Denny,,Lee,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Jessica,,Testa,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Annabel,,Davidson,,,reported,,1
Tanya,,Dukes,,,reported,,1
Kathleen,,Beckett,,,reported,,1
Abigail,R.,Esman,,,reported,,1
Vivian,,Morelli,,,reported,,1
Tanya,,Dukes,,,reported,,1
Janelle,,Conaway,,,reported,,1
Whitney,,Bauck,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Jessica,,Testa,,,reported,,2
Guy,,Trebay,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Jon,,Caramanica,,,reported,,1
Jessica,,Iredale,,,reported,,1
Jon,,Caramanica,,,reported,,1
Nick,,Haramis,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Chris,,Colin,,,reported,,1
Megan,,Bradley,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Kristin-lee,,Moolman,,,reported,,1
Jacob,K,,,,reported,,2
Vanessa,,Friedman,,,reported,,1
Elaine,,Louie,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Lindsay,,Talbot,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Salamishah,,Tillet,,,reported,,2
Jessica,,Testa,,,reported,,1
Miranda,,Barnes,,,reported,,1
Sasha,,Kelly,,,reported,,2
Mari,,Maeda,,,reported,,1
Yuji,,Oboshi,,,reported,,2
Véronique,,Hyland,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Vanessa,,Friedman,,,reported,,1
Landon,,Nordeman,,,reported,,1
Elizabeth,,Bristow,,,reported,,2
